kwp,category,feedback,needss_met,feelings_guesses,needs_guesses
always,absolutes,na,na,na,na
never,absolutes,na,na,na,na
total,absolutes,na,na,na,na
all the time,absolutes,na,na,na,na
disrespectful,evaluations,na,na,na,na
shout,evaluations,na,na,na,na
slam,evaluations,na,na,na,na
softly,evaluations,na,na,na,na
ugly,evaluations,na,na,na,na
yell,evaluations,na,na,na,na
feel like,evaluations,something in me feels,na,na,na
when you are,evaluations,na,na,na,na
i am,evaluations,"you are not defined by what you feel; try instead saying ""I notice something in me that feels bla""",na,na,na
talk back,evaluations,na,na,na,na
absorbed,feelings,na,yes,na,na
AFFECTIONATE,feelings,na,yes,na,na
AFRAID,feelings,na,no,na,na
aggravated,feelings,na,no,na,na
agitated,feelings,na,no,na,na
agony,feelings,na,no,na,na
alarmed,feelings,na,no,na,na
alert,feelings,na,yes,na,na
alienated,feelings,na,no,na,na
aloof,feelings,na,no,na,na
amazed,feelings,na,yes,na,na
ambivalent,feelings,na,no,na,na
amused,feelings,na,yes,na,na
ANGRY,feelings,na,no,na,na
anguished,feelings,na,no,na,na
animated,feelings,na,yes,na,na
animosity,feelings,na,no,na,na
ANNOYED,feelings,na,no,na,na
anxious,feelings,na,no,na,na
apathetic,feelings,na,no,na,na
appalled,feelings,na,no,na,na
appreciative,feelings,na,yes,na,na
apprehensive,feelings,na,no,na,na
ardent,feelings,na,yes,na,na
aroused,feelings,na,yes,na,na
ashamed,feelings,na,no,na,na
astonished,feelings,na,yes,na,na
AVERSION,feelings,na,no,na,na
awed,feelings,na,yes,na,na
baffled,feelings,na,no,na,na
beat,feelings,na,no,na,na
bereaved,feelings,na,no,na,na
bewildered,feelings,na,no,na,na
blissful,feelings,na,yes,na,na
bored,feelings,na,no,na,na
burnt out,feelings,na,no,na,na
calm,feelings,na,yes,na,na
centered,feelings,na,yes,na,na
chagrined,feelings,na,no,na,na
clear headed,feelings,na,yes,na,na
cold,feelings,na,no,na,na
comfortable,feelings,na,yes,na,na
compassionate,feelings,na,yes,na,na
CONFIDENT,feelings,na,yes,na,na
CONFUSED,feelings,na,no,na,na
contempt,feelings,na,no,na,na
content,feelings,na,yes,na,na
cranky,feelings,na,no,na,na
curious,feelings,na,yes,na,na
dazed,feelings,na,no,na,na
dazzled,feelings,na,yes,na,na
dejected,feelings,na,no,na,na
delighted,feelings,na,yes,na,na
depleted,feelings,na,no,na,na
depressed,feelings,na,no,na,na
despair,feelings,na,no,na,na
despondent,feelings,na,no,na,na
detached,feelings,na,no,na,na
devastated,feelings,na,no,na,na
disappointed,feelings,na,no,na,na
discombobulated,feelings,na,no,na,na
disconcerted,feelings,na,no,na,na
